x_label;y_label;cl_x;cl_y;hl_x;hl_y;tube_id
23;40;42,87;41,2500000000001;;;TUBE.52
25;40;71,4499999999999;41,2500000000001;;;TUBE.53
27;40;100,03;41,2500000000001;;;TUBE.54
29;40;128,61;41,2500000000001;;;TUBE.55
31;40;157,19;41,2500000000001;;;TUBE.56
33;40;185,77;41,2500000000001;;;TUBE.57
35;40;214,35;41,2500000000001;;;TUBE.58
37;40;242,93;41,2500000000001;;;TUBE.59
39;40;271,510000000001;41,2500000000001;;;TUBE.60
20;41;0;49,5000000000001;;;TUBE.61
22;41;28,58;49,5000000000001;;;TUBE.62
24;41;57,16;49,5000000000001;;;TUBE.63
26;41;85,7399999999999;49,5000000000001;;;TUBE.64
28;41;114,32;49,5000000000001;;;TUBE.65
30;41;142,9;49,5000000000001;;;TUBE.66
32;41;171,48;49,5000000000001;;;TUBE.67
34;41;200,06;49,5000000000001;;;TUBE.68
36;41;228,64;49,5000000000001;;;TUBE.69
38;41;257,22;49,5000000000001;;;TUBE.70
21;42;14,29;57,7499999999999;;;TUBE.71
23;42;42,87;57,7499999999999;;;TUBE.72
25;42;71,4499999999999;57,7499999999999;;;TUBE.73
27;42;100,03;57,7499999999999;;;TUBE.74
29;42;128,61;57,7499999999999;;;TUBE.75
31;42;157,19;57,7499999999999;;;TUBE.76
33;42;185,77;57,7499999999999;;;TUBE.77
35;42;214,35;57,7499999999999;;;TUBE.78
37;42;242,93;57,7499999999999;;;TUBE.79
39;42;271,510000000001;57,7499999999999;;;TUBE.80
20;43;0;65,9999999999999;;;TUBE.81
22;43;28,58;65,9999999999999;;;TUBE.82
24;43;57,16;65,9999999999999;;;TUBE.83
26;43;85,7399999999999;65,9999999999999;;;TUBE.84
28;43;114,32;65,9999999999999;;;TUBE.85
30;43;142,9;65,9999999999999;;;TUBE.86
32;43;171,48;65,9999999999999;;;TUBE.87
34;43;200,06;65,9999999999999;;;TUBE.88
36;43;228,64;65,9999999999999;;;TUBE.89
38;43;257,22;65,9999999999999;;;TUBE.90
21;44;14,29;74,2499999999999;;;TUBE.91
23;44;42,87;74,2499999999999;;;TUBE.92
25;44;71,4499999999999;74,2499999999999;;;TUBE.93
27;44;100,03;74,2499999999999;;;TUBE.94
29;44;128,61;74,2499999999999;;;TUBE.95
31;44;157,19;74,2499999999999;;;TUBE.96
33;44;185,77;74,2499999999999;;;TUBE.97
35;44;214,35;74,2499999999999;;;TUBE.98
37;44;242,93;74,2499999999999;;;TUBE.99
39;44;271,510000000001;74,2499999999999;;;TUBE.100
20;45;0;82,5;;;TUBE.101
22;45;28,58;82,5;;;TUBE.102
24;45;57,16;82,5;;;TUBE.103
26;45;85,7399999999999;82,5;;;TUBE.104
28;45;114,32;82,5;;;TUBE.105
30;45;142,9;82,5;;;TUBE.106
32;45;171,48;82,5;;;TUBE.107
34;45;200,06;82,5;;;TUBE.108
36;45;228,64;82,5;;;TUBE.109
38;45;257,22;82,5;;;TUBE.110
21;46;14,29;90,75;;;TUBE.111
