x_label;y_label;hl_x;hl_y;cl_x;cl_y;tube_id
38;H;25,8531;9,1403;25,8531;-9,1403;TUBE.261
40;H;27,1789;9,1403;27,1789;-9,1403;TUBE.262
42;H;28,5047;9,1403;28,5047;-9,1403;TUBE.263
44;H;29,8305;9,1403;29,8305;-9,1403;TUBE.264
46;H;31,1563;9,1403;31,1563;-9,1403;TUBE.265
48;H;32,4821;9,1403;32,4821;-9,1403;TUBE.266
50;H;33,8079;9,1403;33,8079;-9,1403;TUBE.267
52;H;35,1337;9,1403;35,1337;-9,1403;TUBE.268
54;H;36,4595;9,1403;36,4595;-9,1403;TUBE.269
37;I;25,1902;9,8032;25,1902;-9,8032;TUBE.270
39;I;26516;9,8032;26516;-9,8032;TUBE.271
41;I;27,8418;9,8032;27,8418;-9,8032;TUBE.272
43;I;29,1676;9,8032;29,1676;-9,8032;TUBE.273
45;I;30,4934;9,8032;30,4934;-9,8032;TUBE.274
47;I;31,8192;9,8032;31,8192;-9,8032;TUBE.275
49;I;33145;9,8032;33145;-9,8032;TUBE.276
51;I;34,4708;9,8032;34,4708;-9,8032;TUBE.277
53;I;35,7966;9,8032;35,7966;-9,8032;TUBE.278
38;J;25,8531;10,4661;25,8531;-10,4661;TUBE.279
40;J;27,1789;10,4661;27,1789;-10,4661;TUBE.280
42;J;28,5047;10,4661;28,5047;-10,4661;TUBE.281
44;J;29,8305;10,4661;29,8305;-10,4661;TUBE.282
46;J;31,1563;10,4661;31,1563;-10,4661;TUBE.283
48;J;32,4821;10,4661;32,4821;-10,4661;TUBE.284
50;J;33,8079;10,4661;33,8079;-10,4661;TUBE.285
52;J;35,1337;10,4661;35,1337;-10,4661;TUBE.286
37;K;25,1902;6633,5;25,1902;-6633,5;TUBE.287
39;K;26516;6633,5;26516;-6633,5;TUBE.288
41;K;27,8418;6633,5;27,8418;-6633,5;TUBE.289
43;K;29,1676;6633,5;29,1676;-6633,5;TUBE.290
45;K;30,4934;6633,5;30,4934;-6633,5;TUBE.291
47;K;31,8192;6633,5;31,8192;-6633,5;TUBE.292
49;K;33145;6633,5;33145;-6633,5;TUBE.293
51;K;34,4708;6633,5;34,4708;-6633,5;TUBE.294
