x_label;y_label;cl_x;cl_y;hl_x;hl_y;tube_id
28;3;61,375;2,111;11,375;2,111;TUBE.188
30;3;60,562;2,111;12,188;2,111;TUBE.189
32;3;59,75;2,111;13;2,111;TUBE.190
34;3;58,938;2,111;13,812;2,111;TUBE.191
36;3;58,125;2,111;14,625;2,111;TUBE.192
38;3;57,312;2,111;15,438;2,111;TUBE.193
40;3;56,5;2,111;16,25;2,111;TUBE.194
42;3;55,688;2,111;17,062;2,111;TUBE.195
44;3;54,875;2,111;17,875;2,111;TUBE.196
46;3;54,062;2,111;18,688;2,111;TUBE.197
48;3;53,25;2,111;19,5;2,111;TUBE.198
50;3;52,438;2,111;20,312;2,111;TUBE.199
52;3;51,625;2,111;21,125;2,111;TUBE.200
54;3;50,812;2,111;21,938;2,111;TUBE.201
56;3;50;2,111;22,75;2,111;TUBE.202
58;3;49,188;2,111;23,562;2,111;TUBE.203
60;3;48,375;2,111;24,375;2,111;TUBE.204
62;3;47,562;2,111;25,188;2,111;TUBE.205
64;3;46,75;2,111;26;2,111;TUBE.206
66;3;45,938;2,111;26,812;2,111;TUBE.207
68;3;45,125;2,111;27,625;2,111;TUBE.208
70;3;44,312;2,111;28,438;2,111;TUBE.209
72;3;43,5;2,111;29,25;2,111;TUBE.210
74;3;42,688;2,111;30,062;2,111;TUBE.211
76;3;41,875;2,111;30,875;2,111;TUBE.212
78;3;41,062;2,111;31,688;2,111;TUBE.213
80;3;40,25;2,111;32,5;2,111;TUBE.214
82;3;39,438;2,111;33,312;2,111;TUBE.215
84;3;38,625;2,111;34,125;2,111;TUBE.216
86;3;37,812;2,111;34,938;2,111;TUBE.217
90;3;34,938;2,111;37,812;2,111;TUBE.218
92;3;34,125;2,111;38,625;2,111;TUBE.219
94;3;33,312;2,111;39,438;2,111;TUBE.220
96;3;32,5;2,111;40,25;2,111;TUBE.221
98;3;31,688;2,111;41,062;2,111;TUBE.222
100;3;30,875;2,111;41,875;2,111;TUBE.223
102;3;30,062;2,111;42,688;2,111;TUBE.224
104;3;29,25;2,111;43,5;2,111;TUBE.225
106;3;28,438;2,111;44,312;2,111;TUBE.226
108;3;27,625;2,111;45,125;2,111;TUBE.227
110;3;26,812;2,111;45,938;2,111;TUBE.228
112;3;26;2,111;46,75;2,111;TUBE.229
114;3;25,188;2,111;47,562;2,111;TUBE.230
116;3;24,375;2,111;48,375;2,111;TUBE.231
118;3;23,562;2,111;49,188;2,111;TUBE.232
120;3;22,75;2,111;50;2,111;TUBE.233
122;3;21,938;2,111;50,812;2,111;TUBE.234
124;3;21,125;2,111;51,625;2,111;TUBE.235
126;3;20,312;2,111;52,438;2,111;TUBE.236
128;3;19,5;2,111;53,25;2,111;TUBE.237
130;3;18,688;2,111;54,062;2,111;TUBE.238
132;3;17,875;2,111;54,875;2,111;TUBE.239
134;3;17,062;2,111;55,688;2,111;TUBE.240
136;3;16,25;2,111;56,5;2,111;TUBE.241
138;3;15,438;2,111;57,312;2,111;TUBE.242
140;3;14,625;2,111;58,125;2,111;TUBE.243
142;3;13,812;2,111;58,938;2,111;TUBE.244
144;3;13;2,111;59,75;2,111;TUBE.245
146;3;12,188;2,111;60,562;2,111;TUBE.246
148;3;11,375;2,111;61,375;2,111;TUBE.247
150;3;10,562;2,111;62,188;2,111;TUBE.248
152;3;9,75;2,111;63;2,111;TUBE.249
154;3;8,938;2,111;63,812;2,111;TUBE.250
156;3;8,125;2,111;64,625;2,111;TUBE.251
158;3;7,312;2,111;65,438;2,111;TUBE.252
160;3;6,5;2,111;66,25;2,111;TUBE.253
162;3;5,688;2,111;67,062;2,111;TUBE.254
164;3;4,875;2,111;67,875;2,111;TUBE.255
166;3;4,062;2,111;68,688;2,111;TUBE.256
168;3;3,25;2,111;69,5;2,111;TUBE.257
170;3;2,438;2,111;70,312;2,111;TUBE.258
172;3;1,625;2,111;71,125;2,111;TUBE.259
174;3;0,812;2,111;71,938;2,111;TUBE.260
3;4;71,531;2,815;1,219;2,815;TUBE.261
5;4;70,719;2,815;2,031;2,815;TUBE.262
7;4;69,906;2,815;2,844;2,815;TUBE.263
9;4;69,094;2,815;3,656;2,815;TUBE.264
11;4;68,281;2,815;4,469;2,815;TUBE.265
13;4;67,469;2,815;5,281;2,815;TUBE.266
15;4;66,656;2,815;6,094;2,815;TUBE.267
17;4;65,844;2,815;6,906;2,815;TUBE.268
19;4;65,031;2,815;7,719;2,815;TUBE.269
21;4;64,219;2,815;8,531;2,815;TUBE.270
23;4;63,406;2,815;9,344;2,815;TUBE.271
25;4;62,594;2,815;10,156;2,815;TUBE.272
27;4;61,781;2,815;10,969;2,815;TUBE.273
29;4;60,969;2,815;11,781;2,815;TUBE.274
31;4;60,156;2,815;12,594;2,815;TUBE.275
33;4;59,344;2,815;13,406;2,815;TUBE.276
35;4;58,531;2,815;14,219;2,815;TUBE.277
37;4;57,719;2,815;15,031;2,815;TUBE.278
39;4;56,906;2,815;15,844;2,815;TUBE.279
41;4;56,094;2,815;16,656;2,815;TUBE.280
43;4;55,281;2,815;17,469;2,815;TUBE.281
45;4;54,469;2,815;18,281;2,815;TUBE.282
47;4;53,656;2,815;19,094;2,815;TUBE.283
